sku,product_id,detail_url,title,price,competitor,height,width,weight,packaging_dimensions,colour,materials
BENCAT007GRY-UK,40084,catania-6-persoonsbankje-voor-buiten-polyhout,"Catania 6-persoonsbankje voor buiten, polywood",15900,made,49,123,13.0000,17 x 42 x 128 cm ,"Neutraal,Grijs","Metaal,Hout"
BENCAT022NAT-UK,56199,catania-buitenbank-polywood,"Catania buitenbank, polywood",24900,made,0,0,10.0000,0,Licht hout,"Metaal,Plastic"
BENDBX001ZOK-UK,18036,double-cross-grote-bank-eikenhout,"Double Cross grote bank, eikenhout",14900,made,45,180,18.0000,183 x 35 x 10 cm,Licht hout,
BENDBX002ZOK-UK,18041,double-cross-bank-eikenhout,"Double Cross bank, eikenhout",10900,made,45,120,12.0000,135 x 35 x 11 cm,Licht hout,
BENDBX004ORA-UK,18051,double-cross-grote-bank-rood-eikenhout,"Double Cross grote bank, rood eikenhout",13900,made,45,180,18.0000,183 x 35 x 10 cm,"Rood,Oranje,Licht hout",
BENDBX005ORA-UK,18056,double-cross-bank-rood-eikenhout,"Double Cross bank, rood eikenhout",9900,made,45,120,12.0000,135 x 35 x 11 cm,"Rood,Oranje,Licht hout",
BENDKR001PTN-ME,6672,decker-beklede-opbergbank-busprint,"Decker beklede opbergbank, busprint",29900,made,45,120,24.0000,123 x 41 x 46 cm,Meerkleurig,
BENDKR002GRY-ME,6677,decker-beklede-opbergbank-warm-grijs,"Decker beklede opbergbank, warm grijs",34900,made,45,120,24.0000,123 x 41 x 46 cm,Grijs,
BENDKR007GRE-ME,11016,decker-beklede-opbergbank-venkelgroen,"Decker beklede opbergbank, venkelgroen",29900,made,45,120,24.0000,123 x 41 x 46 cm,Groen,
BENDKR009CRE-ME,11026,decker-beklede-opbergbank-chenin-beige,"Decker beklede opbergbank, Chenin beige",29900,made,45,120,24.0000,123 x 41 x 46 cm,Neutraal,
BENDKR011PTN-ME,14716,decker-beklede-opbergbank-soldaatjes,"Decker beklede opbergbank, soldaatjes",29900,made,45,120,24.0000,123 x 41 x 46 cm,Meerkleurig,
BENDKR013PTN-ME,14726,decker-beklede-opbergbank-telefoontoestellen,"Decker beklede opbergbank, telefoontoestellen",29900,made,45,120,24.0000,123 x 41 x 46 cm,Meerkleurig,
